step,train_loss,train_ppl,val_loss,val_ppl,lr,epoch,tok_per_sec,vram_gb,elapsed_sec
15800,3.7404,42.1,,,0.000111761959559702,,50434,15.64,10455.6
15850,3.8542,47.2,,,0.00011097725891479419,,50440,15.64,10488.1
15900,3.9117,50.0,,,0.00011019472553258754,,50478,15.64,10520.6
15950,3.9586,52.4,,,0.00010941439080644289,,50438,15.64,10553.1
16000,3.6108,37.0,3.9296,50.9,0.00010863628604151649,,46614,15.64,10588.2
16050,3.6814,39.7,,,0.00010786044245350374,,50471,15.64,10620.7
16100,3.7528,42.6,,,0.00010708689116738722,,50439,15.64,10653.2
16150,3.8726,48.1,,,0.00010631566321618767,,50423,15.64,10685.6
16200,3.9691,52.9,,,0.00010554678953971934,,50435,15.64,10718.1
16250,3.8917,49.0,3.9007,49.4,0.00010478030098334867,,46602,15.64,10753.3
16300,3.8235,45.8,,,0.00010401622829675661,,50444,15.64,10785.8
16350,3.9403,51.4,,,0.00010325460213270543,,50443,15.64,10818.2
16400,3.787,44.1,,,0.00010249545304580869,,50461,15.64,10850.7
16450,3.8689,47.9,,,0.00010173881149130547,,50498,15.64,10883.2
16500,3.8406,46.6,3.9088,49.8,0.0001009847078238389,,46618,15.64,10918.3
16550,3.9223,50.5,,,0.00010023317229623792,,50456,15.64,10950.8
16600,3.8925,49.0,,,9.948423505830408e-05,,50437,15.64,10983.3
16650,3.5529,34.9,,,9.873792615560155e-05,,50499,15.64,11015.7
16700,3.8046,44.9,,,9.799427552825228e-05,,50460,15.64,11048.2
16750,3.8014,44.8,3.8786,48.4,9.725331300973434e-05,,45947,15.64,11083.8
16800,3.6883,40.0,,,9.651506832568553e-05,,50445,15.64,11116.3
16850,3.9223,50.5,,,9.577957109271045e-05,,50429,15.64,11148.8
16900,4.0802,59.2,,,9.504685081719277e-05,,50441,15.64,11181.3
16950,3.347,28.4,,,9.43169368941111e-05,,50448,15.64,11213.8
17000,3.867,47.8,3.8682,47.9,9.358985860586009e-05,,45917,15.64,11249.4
17050,3.802,44.8,,,9.28656451210754e-05,,50446,15.64,11281.9
17100,3.9411,51.5,,,9.214432549346374e-05,,50454,15.64,11314.4
17150,4.0259,56.0,,,9.142592866063713e-05,,50465,15.64,11346.9
17200,3.9452,51.7,,,9.071048344295216e-05,,50469,15.64,11379.3
17250,3.749,42.5,3.9276,50.8,8.999801854235373e-05,,46603,15.64,11414.5
17300,3.7149,41.1,,,8.92885625412234e-05,,50467,15.64,11446.9
17350,3.0022,20.1,,,8.858214390123309e-05,,50483,15.64,11479.4
17400,3.8028,44.8,,,8.7878790962203e-05,,50467,15.64,11511.9
17450,4.0604,58.0,,,8.717853194096484e-05,,50433,15.64,11544.4
17500,3.8763,48.2,3.8585,47.4,8.64813949302296e-05,,45978,15.64,11580.0
